User ID	Items	Lists	Friends
9994888	0	5	0
46144509	0	12	0
66274022	0	15	0
5707637	0	9	0
53546803	0	9	0
67105888	0	30	0
15743767	0	12	0
288859	0	7	0
16931979	0	3	0
273890	0	1	1
52888688	0	11	0
29687693	0	25	9
286711	0	5	2
46869126	0	6	0
36533642	0	1	0
30497601	0	3	0
2419521	0	4	0
43064313	0	7	0
12574179	0	5	0
613979	0	14	0
1443105	0	33	2
23667942	0	25	4
9218766	0	1	0
24727032	0	6	0
47804662	0	1	0
11070623	0	35	38
18474494	0	1	0
39694901	0	1	0
15914980	0	28	2
1261404	0	2	0
48941744	0	8	0
562734	0	1	2
4745816	0	7	0
32228579	0	1	0
12296546	0	13	0
206709	0	2	0
17396790	0	1	0
16115557	0	3	0
4613356	0	33	6
1142692	0	9	0
17841297	0	33	0
3007577	0	19	0
36125785	0	1	0
3381386	0	1	0
8676547	0	2	0
17852546	0	13	0
29963959	0	18	0
6843434	0	16	0
15042664	2	65	7
4462135	0	27	0
3018732	14	17	0
32877549	0	157	3
3013731	0	6	1
2236252	0	13	0
42571344	0	1	0
6587912	0	6	0
8303372	0	18	1
13592943	0	7	0
22755303	0	1	0
2641458	34	41	0
5703407	0	7	0
4216890	0	10	0
5009432	0	108	5
18990528	0	10	0
278992	0	6	1
2193836	0	6	0
27927255	0	2	0
3710065	0	1	0
51132122	0	3	0
272341	9	122	0
55713	0	8	0
55798366	0	2	0
2538533	0	3	0
2526086	0	4	1
18751223	0	2	0
629112	0	4	0
2656696	0	4	0
15870009	0	6	0
35487586	2	87	6
12970004	0	31	1
14081624	0	62	0
17338268	0	2	0
26248331	0	3	0
19088597	0	1	0
35538958	0	1	0
68104	0	4	0
47174517	0	39	0
20760937	0	1	0
5256603	0	12	0
19703210	0	1	0
16558167	0	1	0
39723213	0	1	0
9043653	0	4	0
12573877	0	1	0
6457496	0	4	1
720328	0	26	0
1393235	0	4	0
997847	40	3	0
3842036	0	12	0
20515055	0	22	3
2816758	0	4	0
18887215	0	7	1
53568784	0	9	0
9610685	0	2	0
37206316	0	1	0
5360955	0	7	4
21318636	0	8	2
